,date,Unnamed: 0.1,rating,Subjectivity,Polarity,moving
0,,,,,,
1,2019-07-15,368.0,5.0,0.56,0.31,5.0
2,2019-08-10,367.0,5.0,0.58,0.26,5.0
3,2019-08-15,366.0,5.0,0.83,0.43,5.0
4,2019-08-16,365.0,5.0,0.54,0.13,5.0
5,2019-08-20,363.5,4.0,0.48000000000000004,0.115,4.8
6,2019-08-22,362.0,4.0,0.47,0.14,4.666666666666667
7,2019-08-27,361.0,5.0,0.58,0.27,4.714285714285714
8,2019-09-02,360.0,1.0,0.74,0.12,4.25
9,2019-09-30,359.0,5.0,0.46,0.14,4.333333333333333
10,2019-10-11,358.0,5.0,0.57,0.3,4.4
11,2019-11-08,357.0,4.0,0.61,0.23,4.363636363636363
12,2019-11-12,356.0,3.0,0.66,0.01,4.25
13,2019-11-19,355.0,5.0,0.68,0.34,4.3076923076923075
14,2019-12-25,354.0,5.0,0.63,0.39,4.357142857142857
15,2020-01-09,353.0,5.0,0.72,-0.02,4.4
16,2020-02-17,352.0,5.0,0.77,0.5,4.4375
17,2020-02-24,351.0,5.0,0.6,0.7,4.470588235294118
18,2020-03-09,350.0,1.0,0.49,-0.09,4.277777777777778
19,2020-04-24,23.0,5.0,0.49,0.25,4.315789473684211
20,2020-05-10,22.0,5.0,0.61,0.36,4.35
21,2020-05-13,349.0,4.0,0.0,0.0,4.333333333333333
22,2020-05-22,348.0,3.0,0.4,-0.02,4.2727272727272725
23,2020-05-27,347.0,1.0,0.63,0.18,4.130434782608695
24,2020-05-28,21.0,5.0,0.51,0.53,4.166666666666667
25,2020-05-29,346.0,3.0,0.29,-0.1,4.12
26,2020-05-31,20.0,5.0,0.88,0.24,4.153846153846154
27,2020-06-01,344.5,1.5,0.685,-0.04999999999999999,4.055555555555555
28,2020-06-02,343.0,5.0,0.62,0.17,4.089285714285714
29,2020-07-07,339.0,1.0,0.54,0.23,3.9827586206896552
30,2020-07-08,337.0,3.6666666666666665,0.64,0.3233333333333333,3.9722222222222223
31,2020-07-09,223.0,4.0,0.59,0.17,3.938888888888889
32,2020-07-09,334.5,1.0,0.49,-0.075,3.805555555555556
33,2020-07-10,477.6666666666667,4.666666666666667,0.68,0.22,3.7944444444444447
34,2020-07-10,222.0,4.0,0.37,0.16,3.7611111111111115
35,2020-07-11,461.25,3.875,0.5425,0.185,3.7569444444444446
36,2020-07-11,220.5,5.0,0.585,0.475,3.7902777777777783
37,2020-07-12,466.54545454545456,3.5454545454545454,0.6345454545454545,0.24727272727272728,3.7417929292929295
38,2020-07-13,429.90909090909093,4.181818181818182,0.6045454545454544,0.2527272727272727,3.847853535353536
39,2020-07-14,219.0,3.0,0.65,-0.6,3.781186868686869
40,2020-07-14,428.84615384615387,3.4615384615384617,0.4830769230769232,0.10999999999999997,3.729904817404818
41,2020-07-15,218.0,4.0,0.47,0.05,3.729904817404818
42,2020-07-15,343.1111111111111,4.555555555555555,0.6633333333333333,0.4488888888888889,3.78175666925667
43,2020-07-16,215.5,2.25,0.49749999999999994,0.017499999999999995,3.6900900025900034
44,2020-07-16,433.6,3.2,0.596,0.084,3.6300900025900034
45,2020-07-17,271.8,4.2,0.5780000000000001,0.244,3.603423335923337
46,2020-07-17,212.5,3.0,0.435,0.155,3.53675666925667
47,2020-07-18,350.3333333333333,3.6666666666666665,0.635,0.20166666666666666,3.492312224812226
48,2020-07-19,210.5,5.0,0.625,0.36,3.625645558145559
49,2020-07-19,368.6666666666667,4.0,0.6433333333333333,0.3266666666666667,3.592312224812226
50,2020-07-20,362.25,3.5,0.6275,0.2525,3.542312224812226
51,2020-07-20,208.5,3.5,0.595,0.009999999999999995,3.5256455581455595
52,2020-07-21,586.0,3.6666666666666665,0.5566666666666666,0.2333333333333333,3.5478677803677816
53,2020-07-21,207.0,2.0,0.46,-0.03,3.581201113701115
54,2020-07-22,354.5,4.25,0.6824999999999999,0.32,3.556201113701115
55,2020-07-22,435.57142857142856,4.142857142857143,0.5785714285714285,0.23142857142857146,3.594296351796353
56,2020-07-23,303.5,2.5,0.675,0.125,3.5109630184630194
57,2020-07-23,308.1666666666667,2.8333333333333335,0.5716666666666667,0.10666666666666667,3.5554074629074637
58,2020-07-24,335.0,4.0,0.5566666666666668,0.19999999999999998,3.5220741295741305
59,2020-07-24,327.2857142857143,4.0,0.5714285714285714,0.22285714285714286,3.6220741295741306
60,2020-07-25,315.0,4.5,0.5862499999999999,0.32125000000000004,3.6498519073519082
61,2020-07-25,283.2,3.0,0.624,0.308,3.616518574018575
62,2020-07-26,285.57142857142856,2.857142857142857,0.53,0.20571428571428574,3.6784233359233367
63,2020-07-26,302.3333333333333,2.888888888888889,0.5433333333333334,-0.04777777777777777,3.6191640766640774
64,2020-07-27,282.57142857142856,3.7142857142857144,0.5557142857142857,0.28428571428571425,3.6096402671402674
65,2020-07-27,318.7142857142857,2.7142857142857144,0.4485714285714287,0.04285714285714286,3.570949790949791
66,2020-07-28,295.25,3.875,0.58,0.19875,3.533449790949791
67,2020-07-28,234.8,2.8,0.688,0.15,3.508601306101306
68,2020-07-29,299.44444444444446,4.666666666666667,0.5900000000000001,0.23777777777777775,3.5247629222629224
69,2020-07-29,451.75,3.875,0.5375,0.155,3.553929588929589
70,2020-07-30,316.8333333333333,2.6666666666666665,0.5216666666666667,0.12833333333333333,3.5274338624338624
71,2020-07-30,360.42857142857144,4.857142857142857,0.6228571428571429,0.25857142857142856,3.5560052910052913
72,2020-07-31,325.85714285714283,3.4285714285714284,0.5485714285714286,0.10285714285714286,3.5184391534391537
